"taxon","lfc_GroupRA","se_GroupRA","W_GroupRA","p_GroupRA","q_GroupRA","diff_GroupRA","passed_ss_GroupRA","diff_robust_GroupRA","Direction"
"Lachnospiraceae UCG-008",-0.226981101696483,0.045894436932596,-4.94572146140163,1.10097495739887e-06,4.4383052970142e-06,TRUE,FALSE,FALSE,"Higher in HC"
"Anaerostipes",0.278046213974285,0.0610244263819425,4.55631016068936,5.54727985971051e-06,2.16848212697774e-05,TRUE,FALSE,FALSE,"Higher in RA"
"Romboutsia",0.28203112863375,0.0637547063340257,4.42369112573625,1.03495385454312e-05,3.9267366834136e-05,TRUE,FALSE,FALSE,"Higher in RA"
"Roseburia",-0.281797107238908,0.065065353783259,-4.33098555304272,1.56010721442559e-05,5.59038418502502e-05,TRUE,TRUE,TRUE,"Higher in HC"
"Alistipes",-0.337995037146126,0.0779340802190552,-4.33693496088102,1.52502464710943e-05,5.59038418502502e-05,TRUE,TRUE,TRUE,"Higher in HC"
"Defluviitaleaceae UCG-011",-0.166456845569145,0.0401080505188389,-4.15021032974313,6.12317791955163e-05,0.000213483770708692,TRUE,FALSE,FALSE,"Higher in HC"
"Bifidobacterium",0.35260120779114,0.0880278547931965,4.00556401856554,6.40401057302744e-05,0.000217399306294879,TRUE,TRUE,TRUE,"Higher in RA"
"[Clostridium] innocuum group",0.202831615308643,0.050510948747629,4.01559702079767,6.77086655854305e-05,0.000223959432321039,TRUE,TRUE,TRUE,"Higher in RA"
"Ruminococcaceae UCG-002",-0.242274752260978,0.063258915381639,-3.82989102483566,0.000134206085404093,0.0004328146254282,TRUE,TRUE,TRUE,"Higher in HC"
"Allisonella",-0.179722948726453,0.0473640233415809,-3.79450342362858,0.000165102620045001,0.000519469219165978,TRUE,TRUE,TRUE,"Higher in HC"
"Negativibacillus",0.16424253090482,0.0432984617251588,3.79326480343262,0.00017833462992465,0.000547742077625711,TRUE,FALSE,FALSE,"Higher in RA"
"Dorea",-0.211229424566459,0.0569362866935973,-3.70992624972524,0.000213397116142978,0.000640191348428933,TRUE,TRUE,TRUE,"Higher in HC"
"[Eubacterium] hallii group",0.192070323503653,0.0520499729441181,3.69011380101702,0.00023080508331776,0.000676678539727068,TRUE,TRUE,TRUE,"Higher in RA"
"Phascolarctobacterium",-0.260348197417877,0.0707541271907384,-3.67961852905107,0.00024112332222317,0.000691220190373087,TRUE,TRUE,TRUE,"Higher in HC"
"Megamonas",-0.282577456707646,0.0787339017139434,-3.58901884139196,0.000351978841705777,0.000987071099566201,TRUE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-003",-0.172560813863795,0.0484210196345276,-3.56375836705319,0.000384087736847959,0.00105419825645504,TRUE,TRUE,TRUE,"Higher in HC"
"Streptococcus",0.296702441670157,0.0865457270261521,3.42827372148022,0.000618988620792876,0.00166353191838086,TRUE,TRUE,TRUE,"Higher in RA"
"Parasutterella",-0.231676867074803,0.0702680040241764,-3.29704636259615,0.00100250136072144,0.00263923827618501,TRUE,TRUE,TRUE,"Higher in HC"
"Flavonifractor",0.184642778252174,0.0569547441354298,3.24192095066078,0.00121679010937914,0.00313931848219817,TRUE,TRUE,TRUE,"Higher in RA"
"Bacteroides",-0.248445491997638,0.077466145495455,-3.20714927028626,0.00135963018817637,0.00343906459362258,TRUE,FALSE,FALSE,"Higher in HC"
"Subdoligranulum",0.194879401461326,0.060949443038805,3.19739429509226,0.00141235077318073,0.0035037163411599,TRUE,TRUE,TRUE,"Higher in RA"
"Enterococcus",0.220338344949051,0.0690092807117531,3.19287989494324,0.00147068987050598,0.0035796036470806,TRUE,FALSE,FALSE,"Higher in RA"
"Coprobacillus",0.132242005108205,0.0414689550965332,3.18893989010253,0.00179247542033839,0.00428202461525283,TRUE,FALSE,FALSE,"Higher in RA"
"Sellimonas",0.132085567642641,0.0431991588314855,3.05759582398098,0.00251430153514252,0.00589717996424336,TRUE,FALSE,FALSE,"Higher in RA"
"Lachnospiraceae NC2004 group",0.132905511323191,0.0439186785774287,3.0261728182208,0.0026553949554261,0.00611689195089227,TRUE,FALSE,FALSE,"Higher in RA"
"[Ruminococcus] torques group",-0.172395066919836,0.0585286090288872,-2.94548375196734,0.00326693669824608,0.00739359358024114,TRUE,TRUE,TRUE,"Higher in HC"
"Lachnoclostridium",-0.189294718504685,0.0646221884088376,-2.92925267877182,0.00343582191706983,0.00764174185003462,TRUE,TRUE,TRUE,"Higher in HC"
"Butyricimonas",-0.146726307320308,0.0506112781051219,-2.89908322440604,0.00383844219312745,0.00839252615107527,TRUE,TRUE,TRUE,"Higher in HC"
"Akkermansia",0.123332361458452,0.0423179498744142,2.91442193736847,0.00400578520241248,0.00861243818518683,TRUE,FALSE,FALSE,"Higher in RA"
"Ruminococcus 1",-0.164083989738122,0.0600440452814541,-2.73272710006438,0.00636449268734955,0.0134593369945589,TRUE,TRUE,TRUE,"Higher in HC"
"Gemella",0.113961928566725,0.0421762204129843,2.70204222784366,0.00727347843866898,0.0151335277191661,TRUE,FALSE,FALSE,"Higher in RA"
"Fusobacterium",-0.14662934630405,0.0549666419488245,-2.66760604441811,0.00796795196955916,0.016315330223383,TRUE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae NK4A214 group",-0.147148029471974,0.057614538301919,-2.55400865491397,0.0107785821369357,0.021725579619761,TRUE,TRUE,TRUE,"Higher in HC"
"Solobacterium",0.105874047055218,0.0419927422078984,2.52124632706896,0.0120778751513322,0.0239699368387978,TRUE,FALSE,FALSE,"Higher in RA"
"Lachnospira",-0.164355196142401,0.0664285174233892,-2.47416625445462,0.0134551181705435,0.0262986400606078,TRUE,TRUE,TRUE,"Higher in HC"
"Granulicatella",0.105046503307214,0.0440688461771137,2.38369080245554,0.017492422437821,0.0336794402161031,TRUE,TRUE,TRUE,"Higher in RA"
"Ruminococcus 2",0.17882988014359,0.0756809763623014,2.3629436185851,0.0182477798710633,0.0346171118142229,TRUE,FALSE,FALSE,"Higher in RA"
"Klebsiella",-0.159090479069661,0.0678986343855933,-2.343058597706,0.0193464970752066,0.0361695380101689,TRUE,TRUE,TRUE,"Higher in HC"
"Coprococcus 3",0.110660507949611,0.0474038957380966,2.33441800988263,0.0197257238945456,0.0363516911770911,TRUE,TRUE,TRUE,"Higher in RA"
"Erysipelotrichaceae UCG-003",-0.174342273971694,0.076622173705503,-2.27535014396456,0.0229919210959581,0.0417740538222338,TRUE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-005",0.134128870843809,0.0614876339348558,2.18139587198809,0.0293542134439357,0.0525929657537181,FALSE,FALSE,FALSE,"Higher in RA"
"Lachnospiraceae UCG-010",-0.115929100776352,0.0537456729873526,-2.15699412311076,0.0311993602768869,0.0551331161057316,FALSE,FALSE,FALSE,"Higher in HC"
"[Eubacterium] xylanophilum group",-0.0894312271504992,0.0431103680998339,-2.07447143442145,0.0386470221468342,0.0673711602289407,FALSE,TRUE,FALSE,"Higher in HC"
"Staphylococcus",0.0857526763807493,0.041555838378057,2.06355303436808,0.0405364358176359,0.0697226696063338,FALSE,TRUE,FALSE,"Higher in RA"
"Moryella",-0.0851166700939996,0.0418270534024229,-2.03496692141046,0.0423560450033205,0.0718938132293203,FALSE,FALSE,FALSE,"Higher in HC"
"Agathobacter",-0.147216223686518,0.0740844992969547,-1.98713934876481,0.0470608724655855,0.078842240883903,FALSE,FALSE,FALSE,"Higher in HC"
"CAG-56",0.0934702254602043,0.0473187342329499,1.97533232820749,0.0485112738454643,0.0792146117223404,FALSE,FALSE,FALSE,"Higher in RA"
"Coprococcus 2",-0.111191832205004,0.056177379597885,-1.97929901680908,0.0481286897855058,0.0792146117223404,FALSE,FALSE,FALSE,"Higher in HC"
"Peptococcus",-0.0788640809737023,0.0403528917933179,-1.95436008347639,0.0522894973338249,0.0843168144507926,FALSE,TRUE,FALSE,"Higher in HC"
"Family XIII AD3011 group",0.0843852623452489,0.0448593064095942,1.88110938619419,0.060548517845216,0.0964291210127515,FALSE,TRUE,FALSE,"Higher in RA"
"Enterobacter",-0.0908036471858864,0.0484789910729797,-1.87305150491254,0.0618110035278194,0.0972392616474233,FALSE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-004",0.0836585266871662,0.0453419541011293,1.84505781335707,0.0653531865998734,0.10157302495643,FALSE,TRUE,FALSE,"Higher in RA"
"Holdemania",0.0799796250851406,0.0437952138781489,1.82621839244049,0.0683623054263302,0.103817058375259,FALSE,TRUE,FALSE,"Higher in RA"
"Fournierella",0.0747468388299063,0.0406182953349225,1.84022589361698,0.0684065888519147,0.103817058375259,FALSE,TRUE,FALSE,"Higher in RA"
"Blautia",0.097612797010327,0.0537571999083531,1.81580880657363,0.0695364597350916,0.104304689602637,FALSE,FALSE,FALSE,"Higher in RA"
"[Eubacterium] ventriosum group",-0.108047908753959,0.0597389002958472,-1.80866919576472,0.0706860471520959,0.104810345777246,FALSE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-014",0.104598246374437,0.0599077937361587,1.74598728898447,0.0812013803990046,0.119033841721268,FALSE,FALSE,FALSE,"Higher in RA"
"GCA-900066225",0.0686650332020452,0.0403806429708503,1.70044427602633,0.0911477614341441,0.132113047471962,FALSE,TRUE,FALSE,"Higher in RA"
"Lachnospiraceae ND3007 group",0.086441484231739,0.0518005988885397,1.66873522867442,0.0954070092389645,0.136750046575849,FALSE,FALSE,FALSE,"Higher in RA"
"Ruminiclostridium 9",0.0801660472396224,0.0511174957084703,1.5682702395442,0.117130066367273,0.166041522652508,FALSE,FALSE,FALSE,"Higher in RA"
"Christensenellaceae R-7 group",0.0942033319664085,0.0628823471417111,1.49808867270989,0.134425164753665,0.188487459274161,FALSE,FALSE,FALSE,"Higher in RA"
"Faecalibacterium",-0.098284025433704,0.072624700562165,-1.3533140195129,0.176098130182122,0.244265148317137,FALSE,TRUE,FALSE,"Higher in HC"
"gut metagenome",0.0760594672804604,0.0566714092784182,1.34211356747441,0.180055235512566,0.247097078522564,FALSE,FALSE,FALSE,"Higher in RA"
"Marvinbryantia",0.0537022964515924,0.0412706966093715,1.30122098398014,0.193618409801151,0.260238015338186,FALSE,FALSE,FALSE,"Higher in RA"
"Haemophilus",0.0539208074850466,0.041240980391693,1.30745697539013,0.193665499786557,0.260238015338186,FALSE,TRUE,FALSE,"Higher in RA"
"Parabacteroides",-0.0888410223108061,0.0698254935530273,-1.27232931398241,0.203410201523881,0.267754244863068,FALSE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-013",0.0785136179781783,0.0616617358400514,1.27329561694209,0.203087446664633,0.267754244863068,FALSE,TRUE,FALSE,"Higher in RA"
"Desulfovibrio",0.0656891078393777,0.0519381168911303,1.26475721052943,0.206564510293508,0.269159816443056,FALSE,TRUE,FALSE,"Higher in RA"
"Phocea",-0.0462310236008064,0.0397060001078832,-1.16433343764656,0.246388980020114,0.317841784225947,FALSE,TRUE,FALSE,"Higher in HC"
"uncultured",-0.0694661485045008,0.0653864558456611,-1.06239354322047,0.288199813535299,0.368096791545086,FALSE,TRUE,FALSE,"Higher in HC"
"[Eubacterium] coprostanoligenes group",0.0678252293413779,0.0646038566598073,1.04986347329903,0.293956316362768,0.371768282458795,FALSE,FALSE,FALSE,"Higher in RA"
"TM7 phylum sp. oral clone DR034",0.0413033936774753,0.0435724112497403,0.947925361319578,0.343672846300071,0.430425215269021,FALSE,FALSE,FALSE,"Higher in RA"
"Ruminiclostridium 5",0.0474068942070585,0.0572653474195833,0.827846094422656,0.407940048301446,0.506002559912371,FALSE,FALSE,FALSE,"Higher in RA"
"[Eubacterium] eligens group",0.0405209531742701,0.055970282805417,0.723972635892208,0.469241082859798,0.576496187513467,FALSE,TRUE,FALSE,"Higher in RA"
"GCA-900066575",-0.0236096919705218,0.0417173119871718,-0.565944708464963,0.571750308901522,0.695809338191475,FALSE,TRUE,FALSE,"Higher in HC"
"metagenome",0.0247080047232627,0.044797452671634,0.551549323671877,0.582026631668313,0.701695658740302,FALSE,TRUE,FALSE,"Higher in RA"
"[Ruminococcus] gauvreauii group",-0.0259752881449896,0.0485063670613126,-0.535502650861413,0.592416268040343,0.707608320159298,FALSE,FALSE,FALSE,"Higher in HC"
"Coprococcus 1",-0.0215481983450705,0.0436165356237617,-0.494037365345709,0.621377891373504,0.709360601656478,FALSE,FALSE,FALSE,"Higher in HC"
"Lachnospiraceae UCG-001",-0.022673279123751,0.0448696061690204,-0.505314868116795,0.613508469523166,0.709360601656478,FALSE,FALSE,FALSE,"Higher in HC"
"Absiella",-0.0222966980534446,0.0446252699228063,-0.499642872570046,0.617886987537216,0.709360601656478,FALSE,TRUE,FALSE,"Higher in HC"
"UBA1819",0.022936977544657,0.0450980964279242,0.508601900333309,0.61129213713816,0.709360601656478,FALSE,TRUE,FALSE,"Higher in RA"
"Intestinimonas",-0.0215086280267714,0.0427833029406174,-0.502734163760686,0.615478588710617,0.709360601656478,FALSE,TRUE,FALSE,"Higher in HC"
"Anaerotruncus",0.0198388543843296,0.0409088885131371,0.484952173119022,0.628309912127361,0.710982268986225,FALSE,TRUE,FALSE,"Higher in RA"
"Lachnospiraceae NK4A136 group",-0.0268080119290414,0.0584534148509763,-0.45862182726855,0.646576440247354,0.725290093842684,FALSE,FALSE,FALSE,"Higher in HC"
"Escherichia-Shigella",0.0451075329750072,0.10224055501852,0.441190220131692,0.659120495624585,0.72700573176998,FALSE,TRUE,FALSE,"Higher in RA"
"Odoribacter",0.0234918192581807,0.0532814834224784,0.440900248063852,0.659377291605331,0.72700573176998,FALSE,FALSE,FALSE,"Higher in RA"
"Family XIII UCG-001",0.0179741019481446,0.0425157427475194,0.422763446822137,0.672618077193672,0.735319762355794,FALSE,FALSE,FALSE,"Higher in RA"
"Lachnospiraceae FCS020 group",0.0182073723168678,0.0454496078384605,0.400605707789196,0.688799485700063,0.740459447127568,FALSE,FALSE,FALSE,"Higher in RA"
"Lachnospiraceae UCG-004",-0.0238966912516149,0.0589897903898931,-0.405098765289208,0.685472500803638,0.740459447127568,FALSE,TRUE,FALSE,"Higher in HC"
"Butyricicoccus",-0.0185650494008839,0.0545128421529763,-0.340562859459535,0.733469777490701,0.769288931816597,FALSE,TRUE,FALSE,"Higher in HC"
"Oscillibacter",-0.0182401526649233,0.0535600354030458,-0.340555276479262,0.733508051266987,0.769288931816597,FALSE,FALSE,FALSE,"Higher in HC"
"Actinomyces",0.0163447212323926,0.0477212035041553,0.342504380279709,0.732087803947525,0.769288931816597,FALSE,TRUE,FALSE,"Higher in RA"
"Tyzzerella 3",-0.0172881457404378,0.0685593935930616,-0.252163049210334,0.800958839790453,0.826589522663748,FALSE,FALSE,FALSE,"Higher in HC"
"Barnesiella",-0.0137105811580268,0.0532877179121157,-0.257293457014596,0.797021795501953,0.826589522663748,FALSE,FALSE,FALSE,"Higher in HC"
"Fusicatenibacter",0.0130087516023604,0.0610635976243054,0.213036114943585,0.831321552189363,0.851114922479586,FALSE,FALSE,FALSE,"Higher in RA"
"Coprobacter",-0.00826896213514334,0.0487327182525334,-0.169679887181616,0.865343395030214,0.87897085007006,FALSE,FALSE,FALSE,"Higher in HC"
"Lachnospiraceae UCG-006",-0.00458821523783043,0.0448974094914623,-0.102193317828347,0.918626225225486,0.92580299261006,FALSE,FALSE,FALSE,"Higher in HC"
"Ruminococcaceae UCG-009",-0.000159322843257961,0.0412172582761562,-0.00386544010740588,0.996918499530404,0.996918499530404,FALSE,TRUE,FALSE,"Higher in HC"
